Team,away/home_code,League,Level,MLB Affiliation,City,State,Stadium Zip Code
Baltimore Orioles,BAL,AL,MLB,BAL,,,
Boson Red Sox,BOS,AL,MLB,BOS,,,
New York Yankees,NYY,AL,MLB,NYY,,,
Tampa Bay Rays,TB,AL,MLB,TB,,,
Toronto Blue Jays,TOR,AL,MLB,TOR,,,
Chicago White Sox,CWS,AL,MLB,CWS,,,
Cleveland Indians,CLE,AL,MLB,CLE,,,
Detroit Tigers,DET,AL,MLB,DET,,,
Kansas City Royals,KC,AL,MLB,KC,,,
Minnesota Twins,MIN,AL,MLB,MIN,,,
Houston Astros,HOU,AL,MLB,HOU,,,
Los Angeles Angels,LAA,AL,MLB,LAA,,,
Oakland Athletics,OAK,AL,MLB,OAK,,,
Seattle Mariners,SEA,AL,MLB,SEA,,,
Texas Rangers,TEX,AL,MLB,TEX,,,
Atlanta Braves,ATL,NL,MLB,ATL,,,
Miami Marlins,MIA,NL,MLB,MIA,,,
New York Mets,NYM,NL,MLB,NYM,,,
Philadelphia Phillies,PHI,NL,MLB,PHI,,,
Washington Nationals,WSH,NL,MLB,WSH,,,
Chicago Cubs,CHC,NL,MLB,CHC,,,
Cincinnati Reds,CIN,NL,MLB,CIN,,,
Milwaukee Brewers,MIL,NL,MLB,MIL,,,
Pittsburgh Pirates,PIT,NL,MLB,PIT,,,
St. Louis Cardinals,STL,NL,MLB,STL,,,
Arizona Diamondbacks,ARI,NL,MLB,ARI,,,
Colorado Rockies,COL,NL,MLB,COL,,,
Los Angeles Dodgers,LAD,NL,MLB,LAD,,,
San Diego Padres,SD,NL,MLB,SD,,,
San Francisco Giants,SF,NL,MLB,SF,,,
Lehigh Valley IronPigs,lhv,IL,AAA,PHI,Allentown,PA,18109
Syracuse Mets,syr,IL,AAA,NYM,Syracuse,NY,13208
Scranton/Wilkes-Barre RailRiders,swb,IL,AAA,NYY,Scranton,PA,18507
Pawtucket Red Sox,paw,IL,AAA,BOS,Pawtucket,RI,02860
Rochester Red Wings,roc,IL,AAA,MIN,Rochester,NY,14608
Buffalo Bisons,buf,IL,AAA,TOR,Buffalo,NY,14203
Charlotte Knights,cha,IL,AAA,CWS,Charlotte,NC,28202
Gwinnett Stripers,gwn,IL,AAA,ATL,Lawrenceville,GA,30043
Durham Bulls,dur,IL,AAA,TB,Durham,NC,27701
Norfolk Tides,nor,IL,AAA,BAL,Norfolk,VA,23510
Columbus Clippers,col,IL,AAA,CLE,Columbus,OH,43215
Indianapolis Indians,ind,IL,AAA,PIT,Indianapolis,IN,46225
Louisville Bats,lou,IL,AAA,CIN,Louisville,KY,40202
Toledo Mud Hens,tol,IL,AAA,DET,Toledo,OH,43604
Iowa Cubs,iow,PCL,AAA,CHC,Des Moines,IA,50309
Memphis Redbirds,mem,PCL,AAA,STL,Memphis,TN,38103
Omaha Storm Chasers,oma,PCL,AAA,KC,Omaha,NE,68046
Nashville Sounds,nas,PCL,AAA,TEX,Nashville,TN,37219
Round Rock Express,rr,PCL,AAA,HOU,Round Rock,TX,78664
New Orleans Baby Cakes,no,PCL,AAA,MIA,New Orleans,LA,70003
San Antonio Missions,sa,PCL,AAA,MIL,San Antonio,TX,78227
Oklahoma City Dodgers,okc,PCL,AAA,LAD,Oklahoma City,OK,73104
Fresno Grizzlies,fre,PCL,AAA,WSH,Fresno,CA,93721
